Higher taxonomic group,Order,Family,Genus,species,data or source,chromosome number (female),chromosome number (male),c-value,"predicted ploidy (1n, 2n, 3n, 4n)","sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","genotypic  (male or female heterogametic, GSD, polygenic)","maternal/haplo-diploid (maternal, haplo-diploid)","environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","polyfactorial (yes, no)","molecular basis (dosage, Y dominant, W dominant)",entry initials,"notes, comments",source: chromosome number (female),source: chromosome number (male),source: c-value,"source: predicted ploidy (1n, 2n, 3n, 4n)","source: sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","source: karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","source: genotypic  (male or female heterogametic, GSD, polygenic)","source: maternal/haplo-diploid (maternal, haplo-diploid)","source: environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","source: polyfactorial (yes, no)","source: molecular basis (dosage, Y dominant, W dominant)"
amphibia,Anura,Bombinatoridae,Bombina,bombina,data,24,24,12.4,2n,,,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bombinatoridae,Bombina,orientalis,data,24,24,10.25,2n,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,"Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ","Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ",,,,
amphibia,Anura,Bombinatoridae,Bombina,variegata,data,24,24,9.6,2n,,,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bufonidae,Bufo,bufo,data,22,22,6.03,2n,,homomorphic,female heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,Ponse|K.|1942|Ponse K. 1942. Rev. Suisse Zool. 49: 185-189,,,,
amphibia,Anura,Bufonidae,Bufo,calamita,data,22,22,4.13,,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,,
amphibia,Anura,Bufonidae,Bufo,gargarizans,data,,,,,,homomorphic,female heterogametic,,,,,NP,replication patterns,,,,,,"Changxiang|W.|1983|Changxiang W, Qun L, Wei X. 1983. Acta genetica Sinica 10: 291-297",,,,,
amphibia,Anura,Bufonidae,Bufo,marinus,data,22,22,4.01,,,homomorphic,female heterogametic,,,,,NP,Chromosome 7; NOR,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,"Abramyan|J.|1984|Abramyan J, Ezaz T, Marshall Graves JA et al. 2009. Chromos. Res. 17: 1015-1024","Abramyan|J.|1984|Abramyan J, Ezaz T, Marshall Graves JA et al. 2009. Chromos. Res. 17: 1015-1024",,,,
amphibia,Anura,Bufonidae,Bufo,melanostictus,data,22,22,,,,homomorphic,male heterogametic,,,,,NP,G-banding,"Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241","Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241",,,,"Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241",,,,,
amphibia,Anura,Bufonidae,Bufo,raddei,data,,,,,,homomorphic,male heterogametic,,,,,NP,chromosome 6,,,,,,"Chongxin|D.|1984|Chongxin D, Kegang S. 1984. Acta genetica Sinica 11: 395-399","Chongxin|D.|1984|Chongxin D, Kegang S. 1984. Acta genetica Sinica 11: 395-399",,,,
amphibia,Anura,Bufonidae,Bufo,siculus,data,22,22,,,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,,,,,"Stцck|M.|2011|Stцck M, Croll D, Dumas Z et al. 2011 J Evol Biol. 24: 1064-1070",,,,
amphibia,Anura,Bufonidae,Bufo,viridis-2,data,44,44,12.03,4n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
